,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000005073,77.5949114643208,8.13510247135781,1.89906370655524,4.28374384875918,1.83774477835888e-05,0.000264938372714286
ENSG00000005102,8.01150572431889,5.99068817599717,1.71804997336022,3.48691148039214,0.000488633059885763,0.00397156405651335
ENSG00000007908,7.09829947890658,5.40209051663121,1.2596541919631,4.28855042209034,1.79842975868003e-05,0.000264938372714286
ENSG00000010610,93.2695128005363,4.66713125543694,1.07296071155567,4.34976901313574,1.36281007200339e-05,0.000232342497641554
ENSG00000022267,7.8166019292239,5.93813155755081,1.3866105956521,4.2824795773021,1.84822100255514e-05,0.000264938372714286
ENSG00000058866,7.25700899496567,4.74186831367551,1.41742239939734,3.34541652205557,0.000821590866901019,0.00563031388199816
ENSG00000067842,8.53510852799358,4.27674035938349,1.30473894345042,3.27785139000566,0.00104600449147857,0.00676997351429183
ENSG00000078399,34.5624075122364,8.11708803210702,1.89788977748541,4.27690170862382,1.89512426834253e-05,0.000264938372714286
ENSG00000080573,5.23040222822466,4.2234835996384,1.15618227814764,3.6529565272398,0.000259238133879438,0.00248229391207846
ENSG00000089225,33.9979276831361,7.67646278731712,1.79381314879265,4.27941047956074,1.87388988266094e-05,0.000264938372714286
ENSG00000101425,71.4498657398737,9.16603250118768,1.58873690191664,5.76938352104104,7.95620481960831e-09,5.05580651718746e-07
ENSG00000102466,7.9824019128168,5.99637715901683,1.61670580875669,3.70900947255721,0.000208071644501259,0.00213885411038794
ENSG00000102837,364.569487630717,10.6490956114807,1.74701334777174,6.09560060034071,1.09027320382927e-09,1.52420193895332e-07
ENSG00000103546,41.9143288976468,5.74544925083405,1.70495947111677,3.3698450597601,0.00075210460096834,0.00525721116076869
ENSG00000105996,51.8340530802767,8.69964960443056,1.74021363365181,4.99918483351639,5.75731937643651e-07,1.82925738369506e-05
ENSG00000106004,112.182771477943,6.89090688295661,2.14267659165603,3.21602751894105,0.00129978367670691,0.0080402547789215
ENSG00000106006,43.6820527710492,5.90020127804588,2.05104795249107,2.87667641845227,0.00401887474883628,0.0197830524608208
ENSG00000106031,39.0951756518535,5.88563410240099,1.68753029353834,3.48772056118781,0.000487156933690797,0.00397156405651335
ENSG00000108691,279.614249479649,5.48510833139069,1.69465851962517,3.23670419017744,0.00120918684069571,0.00754662144327055
ENSG00000110852,11.6756293303564,4.7157491569001,1.41942696898372,3.32229079758608,0.00089281593203173,0.00605901297563281
ENSG00000112333,4.61746581592435,4.70807485725533,1.42567814910444,3.302340616087,0.000958815609238731,0.00644434721978724
ENSG00000114948,22.5239547126331,5.81712040344827,1.91717344607174,3.03421707376945,0.00241160837802166,0.0131767550862429
ENSG00000115604,10.365640907667,4.7312959934491,1.3896516240158,3.40466337870829,0.000662456594079176,0.00479401012600689
ENSG00000117507,27.408277858668,5.89500581062795,1.42267800116781,4.14359806350348,3.41898770114634e-05,0.000459590846750248
ENSG00000118473,31.2540789059145,6.17398806674796,1.42615058893458,4.3291277335308,1.49701091032064e-05,0.000243351308445146
ENSG00000118849,412.760693045176,4.65935086805759,1.12975727880013,4.12420522132514,3.72017094307287e-05,0.000490641413058101
ENSG00000118855,4.80065909715069,5.69507299520051,1.58153430687847,3.60097973874565,0.000317020284450025,0.00284098947218677
ENSG00000119900,1497.54083495405,2.28062765392819,0.756690821158459,3.01394914561888,0.00257871026828636,0.0137596830345967
ENSG00000122592,120.183614409477,6.80188087366482,1.91690892150721,3.54835892167308,0.000387639596358407,0.00334518614635218
ENSG00000123576,6.9675501768601,6.21955818590172,1.85900518647902,3.34563788801561,0.000820935296913562,0.00563031388199816
ENSG00000123610,12.0347508962638,6.99752751068494,1.38765667436497,5.04269365755561,4.59023810762428e-07,1.5278935415378e-05
ENSG00000123700,4.70123167338546,5.66434772975976,1.76466278329053,3.20987544101632,0.00132792502378427,0.00807147470978436
ENSG00000124019,4.34536372402603,5.5457852797389,1.43965662344849,3.85215834763069,0.000117081268347369,0.00137940992444028
ENSG00000124766,37.7474163523247,1.71182960777412,0.609648489355322,2.80789608711129,0.00498663145977155,0.0235256825490165
ENSG00000125845,73.2686056070015,4.80449606836649,1.32831056906546,3.61699754579738,0.00029804012857789,0.00274118486678875
ENSG00000126785,6.87757012932595,6.17118952769671,1.60650876520853,3.8413668579615,0.00012235109487167,0.00137940992444028
